Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",-158.750000,-102.235000,180.000000,bottom
"C2","1uF","C_0603_1608Metric",-158.750000,-107.823000,0.000000,bottom
"C3","100nF","C_0603_1608Metric",-137.541000,-102.616000,90.000000,bottom
"C4","1uF","C_0603_1608Metric",-151.638000,-107.823000,0.000000,bottom
"C7","100nF","C_0603_1608Metric",-164.592000,-97.409000,0.000000,bottom
"C11","4.7Uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-134.112000,-97.790000,0.000000,bottom
"C12","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-165.569500,-99.949000,0.000000,bottom
"C13","100nF","C_0603_1608Metric",-151.638000,-105.537000,180.000000,bottom
"C14","100nF","C_0603_1608Metric",-143.002000,-108.204000,0.000000,bottom
"D1","DIODE","DIO_SS3P3HM3_85A",-160.020000,-98.924700,-90.000000,bottom
"F1","500mA","Fuse_1812_4532Metric",-133.146800,-102.616000,90.000000,bottom
"RP1","1K","R_Array_Convex_4x0603",-155.194000,-98.552000,0.000000,bottom
"RP2","1K","R_Array_Convex_4x0603",-155.194000,-106.680000,180.000000,bottom
"U5","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",-144.018000,-102.616000,90.000000,bottom
"VRU1","LM1117IMPX-5.0","SOT230P700X180-4N",-164.592000,-105.029000,180.000000,bottom
"H1","CONN_15","PinHeader_1x15_P2.54mm_Vertical",170.683000,-94.996000,-90.000000,top
"H2","CONN_15","PinHeader_1x15_P2.54mm_Vertical",135.133000,-110.236000,90.000000,top
"H3","CONN_03X22X3_SILK_MALE_PTH","PinHeader_2x03_P2.54mm_Vertical",170.683000,-100.091000,0.000000,top
"LEDBUILTIN1","LED-0603","LED_0603_1608Metric",161.036000,-105.410000,0.000000,top
"LEDPWR1","GREEN LED-0603","LED_0603_1608Metric",161.036000,-103.632000,0.000000,top
"LEDRX1","Red LED-0603","LED_0603_1608Metric",161.036000,-101.854000,0.000000,top
"LEDTX1","Green LED-0603","LED_0603_1608Metric",161.036000,-100.076000,0.000000,top
"S2","SW","SKRK",157.480000,-102.616000,90.000000,top
"U2","ATMEGA328PB-AU","QFP80P900X900X120-32N",146.558000,-102.616000,-135.000000,top
"USB2","USB_B_Mini","67503-1020",129.717700,-102.616000,0.000000,top
"X1","CSTCE16M0V53Z-R0","OSC_CSTCE16M0V53Z-R0",153.329500,-98.719500,135.000000,top
